,SOI
1890-05-01,0.655285055487464
1890-06-01,0.9763897924963377
1890-07-01,-0.14093570211383544
1890-08-01,-0.00816489542275262
1890-09-01,0.8487608880302826
1890-10-01,0.47552330693169054
1890-11-01,0.20838692101518133
1890-12-01,0.08336657889887834
1891-01-01,1.3954101743773122
1891-02-01,-0.14934802804914085
1891-03-01,-0.4974731586899861
1891-04-01,0.5669929114678054
1891-05-01,0.26982325814187114
1891-06-01,0.2400064294404208
1891-07-01,-0.5501038695419375
1891-08-01,-0.5592953364448745
1891-09-01,-1.0061470129630359
1891-10-01,0.19470245638156355
1891-11-01,-0.4343017138914359
1891-12-01,-0.3885197167549718
1892-01-01,0.27742576167151184
1892-02-01,-0.6634969770706993
1892-03-01,1.3498213068034344
1892-04-01,0.747308678365747
